Notificationid,Age,Catagory,Color,Date,Discount,Gender,Iteam,Region,Time,Popularity
0,39,ComputerAndMobile,Violet,24-02-2015,55,M,MacBook,city3,22:55:49,73
1,53,Fashion,DarkGreen,07-06-2015,25,F,Radowatch,city4,20:39:50,40
2,53,Fashion,Bisque,01-01-2015,25,F,RaybanGlasses,city4,18:52:44,93
3,41,ComputerAndMobile,SaddleBrown,28-04-2015,50,M,Dell,city3,21:13:25,79
4,45,Grossaries,MediumAquaMarine,21-07-2015,5,M,WheelSoap,city5,07:09:52,42
5,18,Fashion,FloralWhite,21-05-2015,25,F,Radowatch,city1,06:03:03,55
6,19,ComputerAndMobile,DarkSlateBlue,01-08-2015,65,M,IphoneXs,city2,22:40:52,71
7,34,Grossaries,Aqua,06-04-2015,5,F,GaramMasala,city5,07:35:45,95
8,43,ComputerAndMobile,Salmon,21-04-2015,50,M,MacBook,city3,23:38:34,99
9,31,ComputerAndMobile,Brown,25-01-2015,60,M,OnePlus6T,city3,17:49:49,2
10,35,ComputerAndMobile,Tomato,11-07-2015,55,M,IphoneXs,city3,18:26:54,90
11,32,ComputerAndMobile,Tomato,29-05-2015,50,M,Dell,city3,16:22:02,70
12,33,ComputerAndMobile,RoyalBlue,16-06-2015,50,M,MacBook,city3,21:19:35,78
13,38,ComputerAndMobile,Bisque,03-03-2015,50,M,OnePlus6T,city3,19:17:07,71
14,24,Fashion,DarkBlue,16-02-2015,25,F,RaybanGlasses,city1,02:50:30,21
15,24,Fashion,Peru,01-02-2015,25,F,Garniearcream,city1,01:06:17,71
16,23,Fashion,PowderBlue,15-05-2015,30,F,NikeShoes,city1,03:52:08,59
17,38,Grossaries,OliveDrab,20-03-2015,10,F,Turdal,city5,00:31:27,34
18,24,Fashion,Cyan,03-02-2015,30,F,RaybanGlasses,city1,00:48:38,9
19,53,Grossaries,LightSeaGreen,17-07-2015,15,F,GaramMasala,city5,05:48:45,15
20,23,ComputerAndMobile,PeachPuff,08-07-2015,50,M,MacBook,city2,15:35:44,15
21,28,ComputerAndMobile,Black,08-08-2015,60,M,OnePlus6T,city2,20:05:50,82
22,24,ComputerAndMobile,Olive,30-01-2015,50,M,IphoneXs,city2,08:50:29,56
23,34,ElectronicsAppliances,Silver,08-01-2015,40,M,MorphyToaster,city5,11:47:29,51
24,35,Grossaries,Wheat,11-01-2015,15,F,WheelSoap,city5,01:51:15,91
25,36,ComputerAndMobile,Teal,04-01-2015,55,M,OnePlus6T,city3,22:32:33,36
26,32,ElectronicsAppliances,Linen,28-01-2015,35,M,UshaIronBox,city5,12:53:51,13
27,28,ElectronicsAppliances,MediumSlateBlue,12-07-2015,40,M,MorphyToaster,city4,14:14:04,64
